"Timestamp","Intenção","Sentença"
"2021/03/25 3:07:22 PM GMT-3","Consultar saldo da conta","Qual o meu saldo"
"2021/03/25 3:07:22 PM GMT-3","Interagir com a luz ou o ar-condicionado","Ligue a luz"
"2021/03/25 3:07:36 PM GMT-3","Consultar saldo da conta","Me diga meu saldo"
"2021/03/25 3:07:39 PM GMT-3","Consultar saldo da conta","Qual o meu saldo?"
"2021/03/25 3:07:47 PM GMT-3","Interagir com a luz ou o ar-condicionado","está muito claro"
"2021/03/25 3:07:56 PM GMT-3","Obter informações relativas ao clima","vai chover?"
"2021/03/25 3:08:07 PM GMT-3","Obter informações relativas ao clima","Qual o clima amanhã?"
"2021/03/25 3:08:12 PM GMT-3","Interagir com a luz ou o ar-condicionado","aumente a temperatura"
"2021/03/25 3:08:12 PM GMT-3","Obter informações relativas ao clima","Qual a temperatura?"
"2021/03/25 3:08:14 PM GMT-3","Interagir com a luz ou o ar-condicionado","Foxbot, apague a luz"
"2021/03/25 3:08:16 PM GMT-3","Interagir com a luz ou o ar-condicionado","estou com frio"
"2021/03/25 3:08:19 PM GMT-3","Obter informações relativas ao clima","vai fazer sol hoje?"
"2021/03/25 3:08:25 PM GMT-3","Interagir com a luz ou o ar-condicionado","Desligue a luz"
"2021/03/25 3:08:29 PM GMT-3","Interagir com a luz ou o ar-condicionado","Acenda a luz"
"2021/03/25 3:08:36 PM GMT-3","Interagir com a luz ou o ar-condicionado","FoxBot Bom Dia (liga as luzes)"
"2021/03/25 3:08:37 PM GMT-3","Interagir com a luz ou o ar-condicionado","deixe o ambiente mais quente"
"2021/03/25 3:08:43 PM GMT-3","Interagir com a luz ou o ar-condicionado","Foxbot, apaga a luz aí"
"2021/03/25 3:08:44 PM GMT-3","Interagir com a luz ou o ar-condicionado","diminua a temperatura"
"2021/03/25 3:08:45 PM GMT-3","Interagir com a luz ou o ar-condicionado","Ligar Luz"
"2021/03/25 3:08:49 PM GMT-3","Consultar saldo da conta","quanto estou devendo no banco"
"2021/03/25 3:09:02 PM GMT-3","Obter informações relativas ao clima","Foxbot, vai tá quente hoje?"
"2021/03/25 3:09:02 PM GMT-3","Interagir com a luz ou o ar-condicionado","Qual a temperatura do ar condicionado?"
"2021/03/25 3:09:05 PM GMT-3","Interagir com a luz ou o ar-condicionado","desligue todos os dispositivos"
"2021/03/25 3:09:15 PM GMT-3","Consultar saldo da conta","FoxBot quanto tem na minha conta?"
"2021/03/25 3:09:15 PM GMT-3","Obter informações relativas ao clima","Vai fazer frio hoje?"
"2021/03/25 3:09:16 PM GMT-3","Consultar saldo da conta","saldo"
"2021/03/25 3:09:20 PM GMT-3","Obter informações relativas ao clima","qual a previsão do tempo?"
"2021/03/25 3:09:22 PM GMT-3","Consultar saldo da conta","Quanto dinheiro tenho em minha conta?"
"2021/03/25 3:09:24 PM GMT-3","Consultar saldo da conta","Foxbot, qual é o meu saldo"
"2021/03/25 3:09:25 PM GMT-3","Consultar saldo da conta","extrato"
"2021/03/25 3:09:26 PM GMT-3","Consultar saldo da conta","quanto dinheiro eu tenho"
"2021/03/25 3:09:27 PM GMT-3","Consultar saldo da conta","qual era o meu saldo ontem?"
"2021/03/25 3:09:28 PM GMT-3","Obter informações relativas ao clima","vai chover?"
"2021/03/25 3:09:30 PM GMT-3","Consultar saldo da conta","FoxBot saldo da conta"
"2021/03/25 3:09:33 PM GMT-3","Obter informações relativas ao clima","Está chovendo?"
"2021/03/25 3:09:37 PM GMT-3","Obter informações relativas ao clima","Qual a previsão do tempo para hoje?"
"2021/03/25 3:09:40 PM GMT-3","Obter informações relativas ao clima","Devo usar um casaco?"
"2021/03/25 3:09:41 PM GMT-3","Consultar saldo da conta","Foxbot, quanto tenho na conta?"
"2021/03/25 3:09:43 PM GMT-3","Interagir com a luz ou o ar-condicionado","quantos graus está o ar condicionado?"
"2021/03/25 3:09:46 PM GMT-3","Interagir com a luz ou o ar-condicionado","ligue a luz"
"2021/03/25 3:09:47 PM GMT-3","Obter informações relativas ao clima","FoxBot esta calor?"
"2021/03/25 3:09:47 PM GMT-3","Obter informações relativas ao clima","está nublado hoje"
"2021/03/25 3:09:49 PM GMT-3","Interagir com a luz ou o ar-condicionado","Acenda a luz"
"2021/03/25 3:09:52 PM GMT-3","Interagir com a luz ou o ar-condicionado","Está muito quente/frio"
"2021/03/25 3:09:52 PM GMT-3","Obter informações relativas ao clima","Devo usar uma regata?"
"2021/03/25 3:09:53 PM GMT-3","Obter informações relativas ao clima","preciso levar um guarda-chuva?"
"2021/03/25 3:09:54 PM GMT-3","Interagir com a luz ou o ar-condicionado","Tempo estimado até minha casa"
"2021/03/25 3:09:55 PM GMT-3","Interagir com a luz ou o ar-condicionado","Diminua a temperatura"
"2021/03/25 3:09:58 PM GMT-3","Obter informações relativas ao clima","vai chover"
"2021/03/25 3:10:00 PM GMT-3","Obter informações relativas ao clima","qual a temperatura máxima para a semana?"
"2021/03/25 3:10:03 PM GMT-3","Obter informações relativas ao clima","FoxBot preciso de um guarda-chuva"
